AccountSeq,AccountID,AccountName,Street,City,StateorProvince,PostalCode,Country,Latitude,Longitude,Phone,NumberofEmployees,AnnualRevenue,AccountOwnerSeq,IndustrySeq,AccountOwner,Industry,Territory,Region,AccountNumber
1000,1c6090f3-8f1c-eb11-a813-000d3a9c7ffa,A. Datum Corporation  (U.S.),32097 Merchant Avenue,Columbus,OH,43210,United States,40.0028,-83.0164,-1097,"3,800","$87,000,000 ",2,27,Eric Gruber,Oil & Gas Production,US-MIDWEST,North America,AN-100001
1001,22c58905-de1e-eb11-a814-000d3a9c7ff2,"Wiegand Group (Arbois, France)",27817 John Wall Street,Pittsburgh,PA,15210,United States,40.4072,-79.9839,-9729,"8,300","$127,000,000 ",4,13,Julian Isla,Forest Products,US-NORTHEAST,North America,AN-100002
1002,113999f9-dd1e-eb11-a814-000d3a9c7ff2,Abbott Group  (Andorra),7 Manitowish Avenue,Montgomery,AL,36109,United States,32.3834,-86.2434,-7428,"9,300","$94,000,000 ",7,37,Spencer Low,Real Estate Investment Trusts,US-SOUTH,North America,AN-100003
1003,22dde512-f81e-eb11-a814-000d3a9c7ff2,"O'Reilly Inc (La Plaine-Saint-Denis, France)",35 Golden Leaf Court,Alhambra,CA,91841,United States,33.7866,-118.2987,-2179,"4,800","$78,000,000 ",11,27,Alicia Thomber,Oil & Gas Production,US-WEST,North America,AN-100004
1004,322492b1-e41e-eb11-a814-000d3a9c7ff2,"Abernathy and Sons (Stapleford, United Kingdom)",3 Mitchell Court,New Orleans,LA,70154,United States,30.033,-89.8826,-7151,"8,700","$108,000,000 ",1,4,Molly Clark,Business Services,US-SOUTH,North America,AN-100005
1005,9c3f73c9-e41e-eb11-a814-000d3a9c7ff2,"Bahringer, Johns and Jacobs",44 Hauk Drive,Pensacola,FL,32520,United States,30.4124,-87.2035,-2231,"1,500","$173,000,000 ",9,0,David So,n/a,US-SOUTH,North America,AN-100006
1006,1d4174a3-e31e-eb11-a814-000d3a9c7ff2,"Runolfsdottir, Cremin and Bins",5 Bayside Point,Pueblo,CO,81010,United States,38.1286,-104.5523,-2431,"9,200","$42,000,000 ",1,7,Molly Clark,Computer Software: Prepackaged Software,US-WEST,North America,AN-100007
1007,36b0eba1-e51e-eb11-a814-000d3a9c7ff2,"Reilly-Kovacek (Lagny-sur-Marne, France)",3552 Dwight Terrace,Naples,FL,34102,United States,26.134,-81.7953,-8962,"4,000","$30,000,000 ",7,8,Spencer Low,"Computer Software: Programming, Data Processing",US-SOUTH,North America,AN-100008
1008,f2026cde-f31e-eb11-a814-000d3a9c7ff2,"Waters-Nitzsche (Tyler, Texas)",296 Dunning Junction,Houston,TX,77030,United States,29.7041,-95.401,-5038,"6,300","$30,000,000 ",1,36,Molly Clark,Real Estate,US-SOUTH,North America,AN-100009
1009,5ae6bbcc-eb1e-eb11-a814-000d3a9c7ff2,"Koepp and Sons (Levallois-Perret, France)",23618 Susan Point,Boise,ID,83727,United States,43.4599,-116.244,-7797,"6,000","$16,000,000 ",11,0,Alicia Thomber,n/a,US-WEST,North America,AN-100010
1010,a4575859-ef1e-eb11-a814-000d3a9c7ff2,Abbott Group  (Idaho),094 Milwaukee Center,Palpalá,,4612,Argentina,-31.4561755,-64.2111608,-5645,"1,700","$88,000,000 ",13,0,Greg Winston,n/a,Argentina,LATAM,AN-100011
1011,e4e99a85-e31e-eb11-a814-000d3a9c7ff2,"Koch and Sons (Uurainen, Finland)",8 Service Circle,Richmond,VA,23289,United States,37.5313,-77.4161,-7057,"9,000","$49,000,000 ",9,26,David So,Medical/Nursing Services,US-SOUTH,North America,AN-100012
1012,4307c90a-f51e-eb11-a814-000d3a9c7ff2,"Smith-Nicolas (Iwase, Japan)",99 Cardinal Place,Marcos Juárez,,2580,Argentina,-34.9044677,-58.5743103,-5561,"7,300","$178,000,000 ",13,8,Greg Winston,"Computer Software: Programming, Data Processing",Argentina,LATAM,AN-100013
1013,41b682bd-e41e-eb11-a814-000d3a9c7ff2,"Nienow LLC (Tucson, Arizona)",3 Sutteridge Center,Salt Lake City,UT,84170,United States,40.6681,-111.9083,-6692,"9,800","$100,000,000 ",11,0,Alicia Thomber,n/a,US-WEST,North America,AN-100014
1014,fcc9d114-ed1e-eb11-a814-000d3a9c7ff2,Abbott Group  (Minnesota),65093 Debra Point,Chamical,,4608,Argentina,-31.4411018,-64.1257463,-10663,"9,300","$25,000,000 ",13,22,Greg Winston,Major Pharmaceuticals,Argentina,LATAM,AN-100015
1015,3f35dcad-e51e-eb11-a814-000d3a9c7ff2,"Kessler, Hegmann and McKenzie",8442 Dwight Parkway,Shawnee Mission,KS,66215,United States,38.949,-94.7405,-7248,"9,700","$89,000,000 ",2,24,Eric Gruber,Medical Specialities,US-MIDWEST,North America,AN-100016
1016,ec7e43ee-f11e-eb11-a814-000d3a9c7ff2,"Wilkinson and Sons (Kiuruvesi, Finland)",06 Mifflin Junction,San Jorge,,5117,Argentina,-34.6098701,-58.5668231,-11462,"2,900","$96,000,000 ",13,4,Greg Winston,Business Services,Argentina,LATAM,AN-100017
1017,8601e902-ed1e-eb11-a814-000d3a9c7ff2,"Haag-Purdy (Arles, France)",0 Maple Wood Trail,Oakland,CA,94616,United States,37.8044,-122.2698,-1464,"8,200","$29,000,000 ",11,4,Alicia Thomber,Business Services,US-WEST,North America,AN-100018
1018,6687c12b-f11e-eb11-a814-000d3a9c7ff2,"Conn, Marquardt and O'Connell",6 Westport Parkway,Detroit,MI,48232,United States,42.2399,-83.1508,-1489,"9,200","$24,000,000 ",3,0,Jeff Hay,n/a,US-MIDWEST,North America,AN-100019
