Date,DAY,DaySeq,MONTH,MONTH_NUMBER,RELATIVE_07_DAY_PERIOD,RELATIVE_30_DAY_PERIOD,RELATIVE_DAY,RELATIVE_MONTH,RELATIVE_WEEK,WEEK,YEAR,YEAR_MONTH,YEAR_MONTH_NUMBER,YEAR_WEEK
1/1/2019 0:00,1/1/2019 0:00,1,January,1,-213,-50,1895-11-21 00:00:00,-49,-214,12/29/2018 0:00,2019,1/1/2019 0:00,24228,2019-W01
1/2/2019 0:00,1/2/2019 0:00,2,January,1,-213,-49,1895-11-22 00:00:00,-49,-214,12/29/2018 0:00,2019,1/1/2019 0:00,24228,2019-W01
1/3/2019 0:00,1/3/2019 0:00,3,January,1,-213,-49,1895-11-23 00:00:00,-49,-214,12/29/2018 0:00,2019,1/1/2019 0:00,24228,2019-W01
1/4/2019 0:00,1/4/2019 0:00,4,January,1,-212,-49,1895-11-24 00:00:00,-49,-214,12/29/2018 0:00,2019,1/1/2019 0:00,24228,2019-W01
1/5/2019 0:00,1/5/2019 0:00,5,January,1,-212,-49,1895-11-25 00:00:00,-49,-214,12/29/2018 0:00,2019,1/1/2019 0:00,24228,2019-W01
1/6/2019 0:00,1/6/2019 0:00,6,January,1,-212,-49,1895-11-26 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/7/2019 0:00,1/7/2019 0:00,7,January,1,-212,-49,1895-11-27 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/8/2019 0:00,1/8/2019 0:00,8,January,1,-212,-49,1895-11-28 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/9/2019 0:00,1/9/2019 0:00,9,January,1,-212,-49,1895-11-29 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/10/2019 0:00,1/10/2019 0:00,10,January,1,-212,-49,1895-11-30 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/11/2019 0:00,1/11/2019 0:00,11,January,1,-211,-49,1895-12-01 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/12/2019 0:00,1/12/2019 0:00,12,January,1,-211,-49,1895-12-02 00:00:00,-49,-213,1/5/2019 0:00,2019,1/1/2019 0:00,24228,2019-W02
1/13/2019 0:00,1/13/2019 0:00,13,January,1,-211,-49,1895-12-03 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/14/2019 0:00,1/14/2019 0:00,14,January,1,-211,-49,1895-12-04 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/15/2019 0:00,1/15/2019 0:00,15,January,1,-211,-49,1895-12-05 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/16/2019 0:00,1/16/2019 0:00,16,January,1,-211,-49,1895-12-06 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/17/2019 0:00,1/17/2019 0:00,17,January,1,-211,-49,1895-12-07 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/18/2019 0:00,1/18/2019 0:00,18,January,1,-210,-49,1895-12-08 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/19/2019 0:00,1/19/2019 0:00,19,January,1,-210,-49,1895-12-09 00:00:00,-49,-212,1/12/2019 0:00,2019,1/1/2019 0:00,24228,2019-W03
1/20/2019 0:00,1/20/2019 0:00,20,January,1,-210,-49,1895-12-10 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/21/2019 0:00,1/21/2019 0:00,21,January,1,-210,-49,1895-12-11 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/22/2019 0:00,1/22/2019 0:00,22,January,1,-210,-49,1895-12-12 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/23/2019 0:00,1/23/2019 0:00,23,January,1,-210,-49,1895-12-13 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/24/2019 0:00,1/24/2019 0:00,24,January,1,-210,-49,1895-12-14 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/25/2019 0:00,1/25/2019 0:00,25,January,1,-209,-49,1895-12-15 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/26/2019 0:00,1/26/2019 0:00,26,January,1,-209,-49,1895-12-16 00:00:00,-49,-211,1/19/2019 0:00,2019,1/1/2019 0:00,24228,2019-W04
1/27/2019 0:00,1/27/2019 0:00,27,January,1,-209,-49,1895-12-17 00:00:00,-49,-210,1/26/2019 0:00,2019,1/1/2019 0:00,24228,2019-W05
1/28/2019 0:00,1/28/2019 0:00,28,January,1,-209,-49,1895-12-18 00:00:00,-49,-210,1/26/2019 0:00,2019,1/1/2019 0:00,24228,2019-W05
1/29/2019 0:00,1/29/2019 0:00,29,January,1,-209,-49,1895-12-19 00:00:00,-49,-210,1/26/2019 0:00,2019,1/1/2019 0:00,24228,2019-W05
1/30/2019 0:00,1/30/2019 0:00,30,January,1,-209,-49,1895-12-20 00:00:00,-49,-210,1/26/2019 0:00,2019,1/1/2019 0:00,24228,2019-W05
1/31/2019 0:00,1/31/2019 0:00,31,January,1,-209,-49,1895-12-21 00:00:00,-49,-210,1/26/2019 0:00,2019,1/1/2019 0:00,24228,2019-W05
2/1/2019 0:00,2/1/2019 0:00,32,February,2,-208,-48,1895-12-22 00:00:00,-48,-210,1/26/2019 0:00,2019,2/1/2019 0:00,24229,2019-W05
2/2/2019 0:00,2/2/2019 0:00,33,February,2,-208,-48,1895-12-23 00:00:00,-48,-210,1/26/2019 0:00,2019,2/1/2019 0:00,24229,2019-W05
2/3/2019 0:00,2/3/2019 0:00,34,February,2,-208,-48,1895-12-24 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/4/2019 0:00,2/4/2019 0:00,35,February,2,-208,-48,1895-12-25 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/5/2019 0:00,2/5/2019 0:00,36,February,2,-208,-48,1895-12-26 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/6/2019 0:00,2/6/2019 0:00,37,February,2,-208,-48,1895-12-27 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/7/2019 0:00,2/7/2019 0:00,38,February,2,-208,-48,1895-12-28 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
