MachineKey,StoreKey,MachineType,MachineName,MachineDescription,VendorName,MachineOS,MachineSource,MachineHardware,MachineSoftware,Status,ServiceStartDate,DecommissionDate,LastModifiedDate
1,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
2,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2011-06-17 00:00:00.000,2009-07-06 00:00:00.000
3,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2015-01-01 00:00:00.000,2009-07-06 00:00:00.000
4,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2014-06-16 00:00:00.000,2009-07-06 00:00:00.000
5,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2010-06-16 00:00:00.000,2009-07-06 00:00:00.000
6,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2011-06-17 00:00:00.000,2009-07-06 00:00:00.000
7,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2015-01-01 00:00:00.000,2009-07-06 00:00:00.000
8,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
9,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
10,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
11,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
12,1,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-12 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
13,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
14,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
15,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
16,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
17,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
18,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
19,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2015-01-01 00:00:00.000,2008-01-01 00:00:00.000
