ITSLAkey,DateKey,StoreKey,MachineKey,OutageKey,OutageStartTime,OutageEndTime,DownTime
1,2007-05-27,18,177,423,2007-05-27 03:23:00,2007-05-27 03:27:00,4
2,2007-05-04,168,1348,522,2007-05-04 17:39:00,2007-05-04 18:04:00,25
3,2007-09-29,143,1103,577,2007-09-29 03:41:00,2007-09-29 17:30:00,829
4,2007-05-13,16,160,501,2007-05-13 14:07:00,2007-05-13 14:58:00,51
5,2007-06-06,116,827,463,2007-06-06 18:50:00,2007-06-06 19:15:00,25
6,2007-12-15,291,1910,324,2007-12-15 12:41:00,2007-12-15 13:09:00,28
7,2007-09-12,92,606,564,2007-09-12 08:31:00,2007-09-12 08:56:00,25
8,2007-12-02,260,2859,381,2007-12-02 10:21:00,2007-12-02 10:41:00,20
9,2007-01-07,158,1254,490,2007-01-07 18:17:00,2007-01-07 18:22:00,5
10,2007-11-03,217,1719,386,2007-11-03 18:01:00,2007-11-03 18:26:00,25
11,2007-08-05,53,2389,573,2007-08-05 14:37:00,2007-08-05 17:36:00,179
12,2007-12-03,245,2152,422,2007-12-03 15:49:00,2007-12-03 16:12:00,23
13,2007-08-29,76,447,294,2007-08-29 06:18:00,2007-08-29 06:43:00,25
14,2007-12-09,129,957,571,2007-12-09 10:55:00,2007-12-09 16:21:00,326
15,2007-06-03,182,1492,443,2007-06-03 08:48:00,2007-06-03 09:13:00,25
16,2007-10-27,143,1100,472,2007-10-27 04:24:00,2007-10-27 04:29:00,5
17,2007-09-03,126,931,386,2007-09-03 17:07:00,2007-09-03 17:12:00,5
18,2007-04-13,141,1084,491,2007-04-13 08:33:00,2007-04-13 09:18:00,45
19,2007-05-11,29,286,381,2007-05-11 11:34:00,2007-05-11 12:07:00,33
20,2007-11-16,154,1209,520,2007-11-16 02:07:00,2007-11-16 02:17:00,10
21,2007-09-07,282,1864,568,2007-09-07 14:10:00,2007-09-07 14:19:00,9
22,2007-08-25,111,780,445,2007-08-25 00:48:00,2007-08-25 00:57:00,9
23,2007-11-18,177,1436,391,2007-11-18 04:59:00,2007-11-18 05:51:00,52
24,2007-08-08,215,1709,423,2007-08-08 00:59:00,2007-08-08 01:36:00,37
25,2007-03-15,235,2487,463,2007-03-15 08:32:00,2007-03-15 09:14:00,42
26,2007-11-28,34,338,315,2007-11-28 17:36:00,2007-11-28 17:41:00,5
27,2007-07-31,263,2216,405,2007-07-31 14:59:00,2007-07-31 15:50:00,51
28,2007-06-08,73,417,453,2007-06-08 11:05:00,2007-06-08 11:26:00,21
29,2007-01-10,281,2634,339,2007-01-10 14:34:00,2007-01-10 14:49:00,15
30,2007-01-18,125,914,594,2007-01-18 14:56:00,2007-01-19 01:45:00,649
31,2007-01-14,295,2274,430,2007-01-14 13:19:00,2007-01-14 13:51:00,32
32,2007-07-02,25,248,366,2007-07-02 11:44:00,2007-07-02 11:54:00,10
33,2007-07-14,264,2556,310,2007-07-14 14:35:00,2007-07-14 14:37:00,2
34,2007-08-25,206,2419,567,2007-08-25 11:41:00,2007-08-25 11:46:00,5
35,2007-07-06,67,373,381,2007-07-06 04:22:00,2007-07-06 04:37:00,15
36,2007-09-03,196,1628,558,2007-09-03 06:13:00,2007-09-03 06:25:00,12
37,2007-04-01,137,1035,441,2007-04-01 05:53:00,2007-04-01 05:59:00,6
38,2007-04-06,76,448,451,2007-04-06 11:45:00,2007-04-06 11:56:00,11
39,2007-12-14,212,2774,383,2007-12-14 03:33:00,2007-12-14 04:09:00,36
40,2007-02-05,236,2143,381,2007-02-05 18:04:00,2007-02-05 18:22:00,18
41,2007-08-26,174,1411,589,2007-08-26 15:34:00,2007-08-27 10:27:00,1133
42,2007-02-03,52,2385,297,2007-02-03 18:26:00,2007-02-03 19:08:00,42
43,2007-02-26,100,682,330,2007-02-26 18:15:00,2007-02-26 18:19:00,4
44,2007-10-03,35,2310,562,2007-10-03 10:42:00,2007-10-03 11:24:00,42
45,2007-09-20,38,1968,296,2007-09-20 02:29:00,2007-09-20 03:04:00,35
46,2007-11-19,80,489,386,2007-11-19 05:41:00,2007-11-19 06:00:00,19
47,2007-11-22,181,1480,381,2007-11-22 07:31:00,2007-11-22 07:45:00,14
48,2007-11-24,170,1363,321,2007-11-24 13:23:00,2007-11-24 13:37:00,14
49,2007-01-09,167,1340,374,2007-01-09 01:58:00,2007-01-09 02:52:00,54
50,2007-02-26,184,1508,562,2007-02-26 16:29:00,2007-02-26 17:01:00,32
51,2007-12-15,197,1634,589,2007-12-15 08:50:00,2007-12-16 03:07:00,1097
52,2007-11-27,94,613,347,2007-11-27 13:21:00,2007-11-27 13:26:00,5
53,2007-08-14,185,1522,503,2007-08-14 15:10:00,2007-08-14 15:39:00,29
54,2007-04-23,156,1231,314,2007-04-23 20:38:00,2007-04-23 21:12:00,34
55,2007-08-15,108,748,425,2007-08-15 15:28:00,2007-08-15 15:40:00,12
56,2007-09-22,286,1891,306,2007-09-22 07:04:00,2007-09-22 07:49:00,45
57,2007-01-16,287,1898,330,2007-01-16 11:30:00,2007-01-16 11:55:00,25
58,2007-03-05,195,1621,318,2007-03-05 09:13:00,2007-03-05 10:04:00,51
59,2007-12-14,161,1275,514,2007-12-14 16:39:00,2007-12-14 17:24:00,45
60,2007-10-27,55,2412,358,2007-10-27 08:38:00,2007-10-27 08:46:00,8
61,2007-02-27,58,357,441,2007-02-27 20:07:00,2007-02-27 20:48:00,41
62,2007-11-01,11,104,363,2007-11-01 17:51:00,2007-11-01 18:02:00,11
63,2007-07-14,126,928,548,2007-07-14 20:03:00,2007-07-14 21:00:00,57
64,2007-11-27,170,1374,312,2007-11-27 18:21:00,2007-11-27 19:18:00,57
65,2007-04-26,264,2557,528,2007-04-26 18:36:00,2007-04-26 19:22:00,46
66,2007-02-18,220,1735,326,2007-02-18 19:11:00,2007-02-18 19:18:00,7
67,2007-12-25,226,2458,548,2007-12-25 11:39:00,2007-12-25 11:46:00,7
68,2007-01-21,124,905,520,2007-01-21 01:45:00,2007-01-21 02:02:00,17
69,2007-03-28,73,418,571,2007-03-28 10:00:00,2007-03-28 14:32:00,272
70,2007-01-25,247,1806,320,2007-01-25 04:11:00,2007-01-25 04:21:00,10
71,2007-02-05,221,2436,395,2007-02-05 12:55:00,2007-02-05 12:58:00,3
72,2007-01-16,42,2005,531,2007-01-16 03:12:00,2007-01-16 03:36:00,24
73,2007-01-04,3,24,405,2007-01-04 13:22:00,2007-01-04 14:02:00,40
74,2007-10-27,179,1459,549,2007-10-27 00:29:00,2007-10-27 01:09:00,40
75,2007-03-30,175,1417,384,2007-03-30 01:13:00,2007-03-30 02:06:00,53
76,2007-12-26,9,87,422,2007-12-26 06:31:00,2007-12-26 06:49:00,18
77,2007-01-11,141,1077,374,2007-01-11 19:25:00,2007-01-11 19:35:00,10
78,2007-08-19,156,1228,506,2007-08-19 11:17:00,2007-08-19 11:23:00,6
79,2007-07-20,1,2,579,2007-07-20 19:03:00,2007-07-21 11:28:00,985
80,2007-01-08,99,662,576,2007-01-08 20:43:00,2007-01-09 14:00:00,1037
81,2007-04-04,143,1094,379,2007-04-04 17:36:00,2007-04-04 17:52:00,16
82,2007-05-19,180,1466,451,2007-05-19 07:01:00,2007-05-19 07:18:00,17
83,2007-08-23,22,217,543,2007-08-23 17:31:00,2007-08-23 17:59:00,28
84,2007-11-14,27,270,501,2007-11-14 05:54:00,2007-11-14 06:18:00,24
85,2007-05-18,304,2899,338,2007-05-18 11:21:00,2007-05-18 11:53:00,32
86,2007-03-27,34,341,383,2007-03-27 08:28:00,2007-03-27 09:21:00,53
87,2007-10-04,195,1618,582,2007-10-04 07:33:00,2007-10-04 16:30:00,537
88,2007-04-26,196,1632,405,2007-04-26 02:14:00,2007-04-26 03:13:00,59
